,dataset,jobid,timeserie,signal_length,n_brkpts,kernel,computation_time,loss
136,dataset_sop_db,7910,bytesWritten,39,3,linear,0.002696514129638672,4.8431298222303784e+16
137,dataset_sop_db,7910,bytesWritten,39,6,rbf,0.0017924308776855469,7.981637252925602
138,dataset_sop_db,7910,bytesRead,39,3,linear,0.0026369094848632812,1.3244130240627266e+20
139,dataset_sop_db,7910,bytesRead,39,3,rbf,0.001804351806640625,10.460264442617252
140,dataset_sop_db,11638,bytesWritten,214,4,linear,0.010087966918945312,4.659835650798393e+17
141,dataset_sop_db,11638,bytesWritten,214,7,rbf,0.009032487869262695,79.01587780293573
142,dataset_sop_db,11638,bytesRead,214,5,linear,0.010065555572509766,3.373419097857333e+21
143,dataset_sop_db,11638,bytesRead,214,5,rbf,0.008102893829345703,18.900481753908867
144,dataset_sop_db,3564,bytesWritten,56,2,linear,0.003246784210205078,2897650616204330.5
145,dataset_sop_db,3564,bytesWritten,56,7,rbf,0.0021915435791015625,15.614275127190053
146,dataset_sop_db,3564,bytesRead,56,5,linear,0.0032291412353515625,4.312795272423362e+16
147,dataset_sop_db,3564,bytesRead,56,7,rbf,0.0022284984588623047,13.031209254543603
148,dataset_sop_db,4281,bytesWritten,33,1,linear,0.002185344696044922,8.398907253663627e+18
149,dataset_sop_db,4281,bytesWritten,33,5,rbf,0.0015828609466552734,11.371110731217758
150,dataset_sop_db,4281,bytesRead,33,5,linear,0.0021474361419677734,8.375073926083753e+19
151,dataset_sop_db,4281,bytesRead,33,5,rbf,0.0015735626220703125,7.764746087159017
152,dataset_sop_db,7518,bytesWritten,43,2,linear,0.002705097198486328,1.7217472300925814e+18
153,dataset_sop_db,7518,bytesWritten,43,2,rbf,0.0018646717071533203,17.026535104956004
154,dataset_sop_db,7518,bytesRead,43,6,linear,0.002620220184326172,1.1802739665424987e+20
155,dataset_sop_db,7518,bytesRead,43,6,rbf,0.0018393993377685547,7.536067279711411
156,dataset_sop_db,7256,bytesWritten,29,5,linear,0.0021965503692626953,8.755111785153336e+16
157,dataset_sop_db,7256,bytesWritten,29,5,rbf,0.0015599727630615234,8.244013989160305
158,dataset_sop_db,7256,bytesRead,29,5,linear,0.002111196517944336,2.2332129729479885e+20
159,dataset_sop_db,7256,bytesRead,29,5,rbf,0.0015261173248291016,5.964524809090155
160,dataset_sop_db,2537,bytesWritten,61,3,linear,0.0032525062561035156,8288674267103866.0
161,dataset_sop_db,2537,bytesWritten,61,7,rbf,0.0022678375244140625,18.376739947659182
162,dataset_sop_db,2537,bytesRead,61,7,linear,0.0032100677490234375,5641583056542125.0
163,dataset_sop_db,2537,bytesRead,61,7,rbf,0.002252817153930664,12.407956816284099
164,dataset_sop_db,2301,bytesWritten,26,5,linear,0.0021538734436035156,8730086425259568.0
165,dataset_sop_db,2301,bytesWritten,26,5,rbf,0.0015180110931396484,9.321268073363845
166,dataset_sop_db,2301,bytesRead,26,1,linear,0.0021386146545410156,1.832458177025858e+17
167,dataset_sop_db,2301,bytesRead,26,5,rbf,0.001522064208984375,7.597649035596811
168,dataset_sop_db,4821,bytesWritten,32,5,linear,0.002185821533203125,3.1511819765738696e+18
169,dataset_sop_db,4821,bytesWritten,32,5,rbf,0.0015659332275390625,10.043375360871561
170,dataset_sop_db,4821,bytesRead,32,1,linear,0.002127408981323242,1.3776667022077859e+20
171,dataset_sop_db,4821,bytesRead,32,5,rbf,0.0015499591827392578,5.067517800731871
172,dataset_sop_db,7851,bytesWritten,16,4,linear,0.0016896724700927734,1.0092186614198029e+17
173,dataset_sop_db,7851,bytesWritten,16,4,rbf,0.0013043880462646484,3.7118003290801473
174,dataset_sop_db,7851,bytesRead,16,4,linear,0.001687765121459961,1.9508761015308783e+20
175,dataset_sop_db,7851,bytesRead,16,4,rbf,0.0012750625610351562,3.079601330006302
176,dataset_sop_db,6168,bytesWritten,10,3,linear,0.0013315677642822266,92637076960753.16
177,dataset_sop_db,6168,bytesWritten,10,3,rbf,0.0011239051818847656,1.747950685333296
178,dataset_sop_db,6168,bytesRead,10,3,linear,0.0013413429260253906,9.534193284976003e+16
179,dataset_sop_db,6168,bytesRead,10,3,rbf,0.001125335693359375,2.8470136540741677
180,dataset_gysela,107815,bytesWritten,65,2,linear,0.003808736801147461,3.857703771471546e+18
181,dataset_gysela,107815,bytesWritten,65,5,rbf,0.0024902820587158203,17.852136148725563
182,dataset_gysela,107815,bytesRead,65,2,linear,0.0037577152252197266,5454327608444797.0
183,dataset_gysela,107815,bytesRead,65,3,rbf,0.0024640560150146484,4.567159476297405
184,dataset_gysela,107939,bytesWritten,63,2,linear,0.0032448768615722656,4.522959570799493e+18
185,dataset_gysela,107939,bytesWritten,63,4,rbf,0.0022411346435546875,19.224284496595622
186,dataset_gysela,107939,bytesRead,63,2,linear,0.0031948089599609375,5460973659824420.0
187,dataset_gysela,107939,bytesRead,63,3,rbf,0.002213716506958008,4.547259143795749
188,dataset_gysela,105836,bytesWritten,50,5,linear,0.0032563209533691406,3.975997260982325e+18
189,dataset_gysela,105836,bytesWritten,50,4,rbf,0.0020928382873535156,16.742102774319427
190,dataset_gysela,105836,bytesRead,50,2,linear,0.00313568115234375,4232172010228466.5
191,dataset_gysela,105836,bytesRead,50,2,rbf,0.0020830631256103516,3.4378073150365935
192,dataset_gysela,109567,bytesWritten,3242,14,linear,0.9403133392333984,1.31849506206692e+22
193,dataset_gysela,109567,bytesWritten,3242,20,rbf,1.7834422588348389,1081.4435759911544
194,dataset_gysela,109567,bytesRead,3242,4,linear,0.9302990436553955,3.084567840442372e+18
195,dataset_gysela,109567,bytesRead,3242,11,rbf,1.8174095153808594,617.562092991127
196,dataset_gysela,107187,bytesWritten,122,2,linear,0.006308794021606445,160625737589452.1
197,dataset_gysela,107187,bytesWritten,122,4,rbf,0.004297971725463867,5.124368786343986
198,dataset_gysela,107187,bytesRead,122,2,linear,0.006181240081787109,3460549559787531.0
199,dataset_gysela,107187,bytesRead,122,2,rbf,0.004170417785644531,4.154219285096474
200,dataset_gysela,107416,bytesWritten,64,2,linear,0.0038301944732666016,2.7539950797728855e+18
201,dataset_gysela,107416,bytesWritten,64,8,rbf,0.002501249313354492,14.382440670826526
202,dataset_gysela,107416,bytesRead,64,2,linear,0.0037817955017089844,4617297145544798.0
203,dataset_gysela,107416,bytesRead,64,2,rbf,0.0024368762969970703,3.577109642548237
204,dataset_gysela,108010,bytesWritten,2885,22,linear,0.7307901382446289,6.753870945501779e+21
205,dataset_gysela,108010,bytesWritten,2885,25,rbf,1.3579323291778564,720.2826131224448
206,dataset_gysela,108010,bytesRead,2885,2,linear,0.7115724086761475,2.4948436122637066e+18
207,dataset_gysela,108010,bytesRead,2885,23,rbf,1.466714859008789,272.83686873567103
208,dataset_gysela,101329,bytesWritten,55,2,linear,0.0032770633697509766,3.9823903283273257e+18
209,dataset_gysela,101329,bytesWritten,55,7,rbf,0.002228260040283203,15.219435009978831
210,dataset_gysela,101329,bytesRead,55,2,linear,0.0031921863555908203,4027007763971325.0
211,dataset_gysela,101329,bytesRead,55,2,rbf,0.0021364688873291016,3.487558146290759
212,dataset_gysela,107998,bytesWritten,59,2,linear,0.003257274627685547,6.329392135197438e+18
213,dataset_gysela,107998,bytesWritten,59,7,rbf,0.002238750457763672,15.6719191161575
214,dataset_gysela,107998,bytesRead,59,2,linear,0.0032117366790771484,4722361292438840.0
215,dataset_gysela,107998,bytesRead,59,2,rbf,0.0021293163299560547,3.5273588112940786
216,dataset_gysela,107251,bytesWritten,54,4,linear,0.0032362937927246094,1.3522783595332764e+18
217,dataset_gysela,107251,bytesWritten,54,7,rbf,0.0021619796752929688,13.598897289173891
218,dataset_gysela,107251,bytesRead,54,2,linear,0.003206968307495117,4700117993240330.0
219,dataset_gysela,107251,bytesRead,54,3,rbf,0.0021202564239501953,3.4676578137890957
220,dataset_valid_dumps,52508,bytesWritten,19,4,linear,0.0016901493072509766,149649120471722.7
221,dataset_valid_dumps,52508,bytesWritten,19,4,rbf,0.0013098716735839844,6.690958326656802
222,dataset_valid_dumps,52508,bytesRead,19,4,linear,0.0016412734985351562,6272.0
223,dataset_valid_dumps,52508,bytesRead,19,4,rbf,0.0012943744659423828,1.1293521612608142
224,dataset_valid_dumps,91865,bytesWritten,114,10,linear,0.005318164825439453,0.0
225,dataset_valid_dumps,91865,bytesWritten,114,10,rbf,0.003767728805541992,1.024867123835682
226,dataset_valid_dumps,91865,bytesRead,114,3,linear,0.005425691604614258,270134260883018.03
227,dataset_valid_dumps,91865,bytesRead,114,3,rbf,0.003838062286376953,20.89551496257485
228,dataset_valid_dumps,88255,bytesWritten,55,2,linear,0.0032362937927246094,4.107305169611782e+19
229,dataset_valid_dumps,88255,bytesWritten,55,7,rbf,0.002146482467651367,18.359352707032773
230,dataset_valid_dumps,88255,bytesRead,55,4,linear,0.003272533416748047,6.581280327124492e+19
231,dataset_valid_dumps,88255,bytesRead,55,7,rbf,0.0021796226501464844,16.236789851458134
232,dataset_valid_dumps,93537,bytesWritten,206,3,linear,0.009884119033813477,8874593043577492.0
233,dataset_valid_dumps,93537,bytesWritten,206,3,rbf,0.008092880249023438,68.08709613914534
234,dataset_valid_dumps,93537,bytesRead,206,4,linear,0.00986623764038086,1.1952805420118045e+17
235,dataset_valid_dumps,93537,bytesRead,206,3,rbf,0.007928133010864258,46.5621761013806
236,dataset_valid_dumps,91987,bytesWritten,1633,40,linear,0.21207690238952637,0.0
237,dataset_valid_dumps,91987,bytesWritten,1633,1,rbf,0.43381834030151367,16.22872115511302
238,dataset_valid_dumps,91987,bytesRead,1633,3,linear,0.2150883674621582,91406882303312.08
239,dataset_valid_dumps,91987,bytesRead,1633,9,rbf,0.42372655868530273,16.149119825105746
240,dataset_valid_dumps,91956,bytesWritten,1633,40,linear,0.21248483657836914,0.0
241,dataset_valid_dumps,91956,bytesWritten,1633,1,rbf,0.42183613777160645,16.22872115511302
242,dataset_valid_dumps,91956,bytesRead,1633,3,linear,0.21541643142700195,111171385703715.34
243,dataset_valid_dumps,91956,bytesRead,1633,13,rbf,0.4200880527496338,16.10931916010242
244,dataset_valid_dumps,52377,bytesWritten,86,3,linear,0.0045986175537109375,2.9467188640310395e+19
245,dataset_valid_dumps,52377,bytesWritten,86,2,rbf,0.003188610076904297,39.48875124012696
246,dataset_valid_dumps,52377,bytesRead,86,1,linear,0.004489898681640625,1.533660972428413e+20
247,dataset_valid_dumps,52377,bytesRead,86,5,rbf,0.003026247024536133,26.3566401747337
248,dataset_valid_dumps,91506,bytesWritten,22,2,linear,0.0017211437225341797,6.596123029878254e+17
249,dataset_valid_dumps,91506,bytesWritten,22,4,rbf,0.0013196468353271484,3.6100430091434426
250,dataset_valid_dumps,91506,bytesRead,22,2,linear,0.001729726791381836,1.7759492200464384e+17
251,dataset_valid_dumps,91506,bytesRead,22,4,rbf,0.0012993812561035156,5.823013282980364
252,dataset_valid_dumps,53494,bytesWritten,56,7,linear,0.0031893253326416016,3.840626124193697e+19
253,dataset_valid_dumps,53494,bytesWritten,56,7,rbf,0.0021860599517822266,21.032544015289595
254,dataset_valid_dumps,53494,bytesRead,56,7,linear,0.003186464309692383,5.716791926107671e+19
255,dataset_valid_dumps,53494,bytesRead,56,7,rbf,0.0021593570709228516,15.773361287125734
