,dataset,file_name,jobid,timeserie,signal_length,n_cluster,change_points,computation_time
82,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7851.csv,7851,bytesWritten,16,4,7,0.13691496849060059
83,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7851.csv,7851,bytesRead,16,2,2,0.13445496559143066
84,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_6168.csv,6168,bytesWritten,10,2,1,0.1329813003540039
85,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_6168.csv,6168,bytesRead,10,2,3,0.179931640625
86,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107815.csv,107815,bytesWritten,65,2,5,0.13777875900268555
87,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107815.csv,107815,bytesRead,65,2,1,0.13566875457763672
88,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107939.csv,107939,bytesWritten,63,5,9,0.15236258506774902
89,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107939.csv,107939,bytesRead,63,2,1,0.13431501388549805
90,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_105836.csv,105836,bytesWritten,50,4,11,0.1412794589996338
91,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_105836.csv,105836,bytesRead,50,2,1,0.20356345176696777
92,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_109567.csv,109567,bytesWritten,3242,2,21,2.035757541656494
93,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_109567.csv,109567,bytesRead,3242,2,3,1.9406862258911133
94,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107187.csv,107187,bytesWritten,122,2,1,0.145643949508667
95,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107187.csv,107187,bytesRead,122,2,1,0.14319968223571777
