,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
127,dataset_oth_db,1391,bytesWritten,1526,63,Botup,Rank,[[-1460.7857825]],63.0957344480193,0.11939263343811035
128,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L1,598016002024.0,0.001,0.0847940444946289
129,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L1,598016002024.0,0.015848931924611134,0.08484601974487305
130,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L1,598016002024.0,0.25118864315095796,0.08471512794494629
131,dataset_oth_db,1391,bytesWritten,1526,4,Wind,L1,301019218650.0,3.981071705534969,0.08597731590270996
132,dataset_oth_db,1391,bytesWritten,1526,7,Wind,L1,10228449180.0,63.0957344480193,0.0884103775024414
133,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L2,2.9333035184694113e+20,0.001,0.05757641792297363
134,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L2,2.9333035184694113e+20,0.015848931924611134,0.057329654693603516
135,dataset_oth_db,1391,bytesWritten,1526,1,Wind,L2,2.9333035184694113e+20,0.25118864315095796,0.05745410919189453
136,dataset_oth_db,1391,bytesWritten,1526,4,Wind,L2,1.6704063217920157e+20,3.981071705534969,0.05837845802307129
137,dataset_oth_db,1391,bytesWritten,1526,7,Wind,L2,7.641963766024866e+18,63.0957344480193,0.05968070030212402
138,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Gauss,60762.17018783762,0.001,0.09328484535217285
139,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Gauss,60762.17018783762,0.015848931924611134,0.09307169914245605
140,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Gauss,60762.17018783762,0.25118864315095796,0.09332036972045898
141,dataset_oth_db,1391,bytesWritten,1526,4,Wind,Gauss,44683.26620289231,3.981071705534969,0.09443497657775879
142,dataset_oth_db,1391,bytesWritten,1526,7,Wind,Gauss,13977.977012608428,63.0957344480193,0.09685850143432617
143,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Linear,5.424157085602279e+20,0.001,0.053118228912353516
144,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Linear,5.424157085602279e+20,0.015848931924611134,0.05304551124572754
145,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Linear,5.424157085602279e+20,0.25118864315095796,0.05312228202819824
146,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Linear,5.424157085602279e+20,3.981071705534969,0.05325150489807129
147,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Linear,5.424157085602279e+20,63.0957344480193,0.053203582763671875
148,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Clinear,6.41580032722599e+20,0.001,0.050689697265625
