,duration,size
5ad8849768db6671883b4af1,759.0,324793.0
5ad884e968db6671d8663621,786.0,378144.0
5ad8869468db6672852b4301,775.0,322218.0
5ad8879268db667306178e21,768.0,311322.0
5ad887fb68db6673455ba641,838.0,337231.0
5ad8899b68db6673e54aae61,795.0,516279.0
5ad88aae68db66746c1b0001,760.0,314125.0
5ad88b4468db6674b72e3e81,797.0,382514.0
5ad88cb668db66754563fcf1,769.0,316932.0
5ad88dba68db6675cc0648b1,815.0,330494.0
5ad88e6e68db66761d69e0c1,834.0,339913.0
5ad88fb768db6676a552b251,766.0,313841.0
5ad8910268db667738797d71,811.0,383532.0
5ad891c068db6677931ea771,836.0,343952.0
5ad892c468db66780103ac11,811.0,337832.0
5ad8944a68db6678b84a9721,866.0,349680.0
5ad8951c68db66791335f0b1,873.0,353369.0
5ad895ef68db66798f725d91,787.0,376216.0
5ad897ad68db667a40027e91,811.0,384062.0
5ad8988568db667aac6fb401,818.0,334311.0
5ad8990268db667aff180861,767.0,317084.0
5ad89adb68db667bae6d3ec1,777.0,314339.0
5ad89bcb68db667c2f3cc991,775.0,498125.0
5ad89c0168db667c5f3a8e31,769.0,315731.0
5ad89de768db667d1f1df831,405.0,225725.0
5ad89ed768db667da7455081,165.0,136241.0
5ad89f0268db667de170c9a1,122.0,68970.0
5ad89fae68db667ee15c0851,682.0,395307.0
5ad89fe168db667f1410d021,711.0,343674.0
5ad8a20768db66015c58aa21,746.0,342808.0
5ad8a25868db6601b22879c1,804.0,380846.0
5ad8a5e168db6603f52a3b21,744.0,323990.0
5ad8a5e168db660406541291,747.0,366879.0
5ad8a5e168db66041d79fb71,808.0,340035.0
5ad8a8c968db66062505d4f1,719.0,347987.0
5ad8a8cc68db66064c0376c1,722.0,470542.0
5ad8a92668db6606b1411f71,776.0,370707.0
5ad8ab9c68db6608306f9f21,687.0,293349.0
5ad8abba68db660858640c41,696.0,304270.0
5ad8ac3368db6608b1368601,801.0,387127.0
5ad8ae4b68db66096e2d1411,681.0,299894.0
5ad8ae8b68db6609ae0029e1,684.0,340513.0
5ad8af5568db660a29199791,777.0,333895.0
5ad8b0f568db660acd55d4e1,688.0,340068.0
5ad8b13768db660afd639411,692.0,329855.0
5ad8b26868db660b8e334e61,793.0,363053.0
5ad8b3a568db660c1657fd81,690.0,458615.0
5ad8b3ef68db660c4b005141,686.0,373513.0
5ad8b59368db660cff792c11,789.0,363264.0
5ad8b65768db660d627e91d1,685.0,333965.0
